Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
Data Analyst,Rudra Research And Analytics,1-4 Yrs,,Pune(Baner),"Data Analysis, Advanced Excel, Leadership, Communication Skills, Time Management, Data, Time Managements, Management",1 day ago,2026-03-19 18:48
Data Analyst I,Swiss Re,0-7 Yrs,,Bengaluru,"Reinsurance, Version control, GIT, Operational excellence, Coding, Analytical, Apache, Reporting tools",1 day ago,2026-03-19 18:48
Data Analyst -UK Pensions,Gallagher,1-4 Yrs,5-7 Lacs PA,"Hybrid - Pune, Gurugram, Bengaluru","Data Analysis, UK pensions, SQL, Pension Administration, Uk, Analysis, Data",1 day ago,2026-03-19 18:48
Data Analyst,Apptad,3-8 Yrs,,"Bokaro, Dhanbad, Jamshedpur, Ranchi","Analytical skills, Automation testing, Data analytics, data visualization, Troubleshooting, Analytical Skill, Automation, Analytics",1 day ago,2026-03-19 18:48
S&C GN - Data&AI - Resources -  Analyst,Accenture,4-8 Yrs,,Bengaluru,"python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining",2 days ago,2026-03-19 18:48
Data Analyst & ETL Developer,Copeland,4-5 Yrs,,Pune,"Automation, Process optimization, project support, Business analysis, Data modeling, power bi, Test cases, microsoft",Today,2026-03-19 18:48
Data Analysts,Asite Solutions,2-4 Yrs,,"Mumbai, Pune, Ahmedabad","Product management, Supply chain, Supply chain management, Data analysis, Management consulting, SCM, Information technology, Product marketing",Just now,2026-03-19 18:48
"Data Analyst - Alteryx,Snowflake, Python",JPMorgan Chase Bank,4-5 Yrs,,Bengaluru,"Automation, tableau, Wealth management, Agile, Management, Data mining, Project delivery, Analytics",Few hours ago,2026-03-19 18:48
Data Analyst,Winfra Buildtech,0-2 Yrs,,"Faridabad, Gurugram","Power Bi, Data Management, Data Operations, Data Collection, Data Analysis, Google Sheets, Data Validation, Countif",1 day ago,2026-03-19 18:48
DATA Analyst,Aziro,2-5 Yrs,,Bengaluru,"github, Business analytics, Analytical, Customer support, Predictive modeling, Autodesk, Business strategy, data visualization",1 day ago,2026-03-19 18:48
Data Analyst,Ledure Lighting,8-12 Yrs,5-10 Lacs PA,Noida(Block B Sector 58),"Power Bi, Dashboards, Data Analytics, Forecasting, Sales Analytics, Insights, Inventory Management, Tableau",1 day ago,2026-03-19 18:48
Analyst - Tech Consulting - National - CNS - TC - Enterprise Data,EY,4-7 Yrs,,Bengaluru,"data analysis, mechanical engineering, collection, data engineering, data collection, data infrastructure, Enterprise, Consulting",1 day ago,2026-03-19 18:48
Data Architecture Analyst,Accenture,3-5 Yrs,,Bengaluru,"architecture, storytelling, python, natural language processing, quality control, performance testing, ai, data architecture",2 days ago,2026-03-19 18:48
Data Analyst,Aliaxis,1-5 Yrs,,Vijayawada,"Outbound, Administration, Product training, Sales Representative, Literature, Data Analyst, Information management, Order processing",Few hours ago,2026-03-19 18:48
Data Analyst,Impact Hr N Km Solutions,1-2 Yrs,,Nashik,"Data analysis, Data validation, Data management, Process improvement, Data collection, Data mining, Business intelligence, Stock market",Few hours ago,2026-03-19 18:48
Data Analyst Role with a D2C Brand - Food Industry,Zigme,2-7 Yrs,,Mumbai,"Automation, Operations Analyst, VLOOKUP, Analytical, Advanced Excel, Data Analyst, Operation Executive, Macros",Few hours ago,2026-03-19 18:48
Data Analyst,Pahle India Foundation,2-7 Yrs,,New Delhi,"Data analysis, Translation, Quantitative research, data science, Analytical, Data Analyst, Research, Econometrics",Today,2026-03-19 18:48
Inventory Data Analyst,Smith & Nephew,5-10 Yrs,,Pune,"Supply chain, Data modeling, Data processing, power bi, Data Analyst, Data quality, Variance analysis, Operations",1 week ago,2026-03-19 18:48
Data Analyst,Clustor Computing,0-2 Yrs,,Nagpur,"Analytical skills, Data analysis, Manager Quality Assurance, data science, power bi, Data analytics, data visualization, digital transformation",1 day ago,2026-03-20 21:14
Data Analyst,Maitrayee Medico,0-2 Yrs,,Ahmedabad,"oracle, natural language processing, sas, data mining, data warehousing, microsoft azure, machine learning, business intelligence",Today,2026-03-20 21:14
Data Analyst (0 Experience Required),Peroptyx,1-4 Yrs,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","digital, excel, hlookup, data analysis, advanced excel, pivot table, vlookup, Analysis",Few hours ago,2026-03-20 21:14
Data Analyst,Pyramid It Consulting,8-13 Yrs,,Remote,"power bi, Data Analytics, SQL, Python, Artificial Intelligence, AI, Tableau, azure",Today,2026-03-20 21:14
Data Analyst,Sapwood Ventures,3-8 Yrs,,Vadodara,"Data Management, Data Analysis, SQL, Power Bi, Data Visualization, Data Cleansing, Data Analytics, Data Reporting",Few hours ago,2026-03-20 21:14
Data Analyst,Crompton Greaves Consumer Electricals,2-3 Yrs,,"Navi Mumbai, Mumbai (All Areas)","Power Bi, Data Analysis, Advanced Excel, Tableau, Dashboards, SAP, QlikView, Analysis",Few hours ago,2026-03-20 21:15
Walk-in || Data Analyst,Tata Consultancy Services,,,,"Data Analysis, Good Communication In English, Excel, Database Management, Advanced Excel, MS Office, Reporting, MS Office Word",Today,2026-03-20 21:15
Data Analyst,Unobank,3-4 Yrs,,Bengaluru,"Visualization, Excel, Data Analysis, Reporting, SQL, Data Visualization, Analysis, Data",Few hours ago,2026-03-20 21:15
Analyst - Data Visualisation,Mphasis,2-4 Yrs,,Bengaluru,"Alteryx, Tableau, SQL, Analysis, Data analysis, Data, Data Visualization",Few hours ago,2026-03-20 21:15
Data Analyst,Vena Solutions,3-5 Yrs,,Indore,"data quality, git, data analysis, writing, power bi, dashboards, communication skills, Analysis",Few hours ago,2026-03-20 21:15
Data Analyst,Kiya.ai,3-5 Yrs,5-10 Lacs PA,"Hybrid - Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)","Data Analysis, SQL, Python, Power Bi, Tableau, ETL, Bi, Analysis",Today,2026-03-20 21:15
Data Analyst,Aubrant Digital,1-4 Yrs,,Hyderabad,"Enterprise applications, Cognos, Consulting, Database administration, Application development, microsoft, Data mining, Analytics",Few hours ago,2026-03-20 21:15
Data Analyst,Vaidyaratnam Oushadhasala,5-7 Yrs,3-4 Lacs PA,Thrissur(Thaikkattussery),"Advanced Excel, Sales Analytics, Dsr, MIS, Analytics, Sales, Data, Excel",Today,2026-03-20 21:15
Data Analyst,Rotork Instruments,1-2 Yrs,,Chennai,"Manager Quality Assurance, MS Access, Analytical, Process improvement, Data quality, Business intelligence, Troubleshooting, SQL",Few hours ago,2026-03-20 21:15
Data Analyst ( Refractory ) - Katni,NVS Consultants,3-5 Yrs,6-10 Lacs PA,Katni,"Power Bi, Tableau, SQL, Excel, Data Analysis, Advanced Excel, Supply Chain, MIS",Today,2026-03-21 23:11
Data Analyst || || Upto 9 LPA || Gurgaon,Hiring for MNC,4-9 Yrs,4-8 Lacs PA,Gurugram,"SQL, Data Analytics, Java, Google Analytics, Power Bi, SQL Development, SQL Queries, Data Extraction",Today,2026-03-21 23:11
Data Analyst,MBS Global,3-6 Yrs,6-11 Lacs PA,"Hybrid - Hyderabad, Gurugram","Data Analysis, Agile, Advanced Excel, Python, Analysis, Data, Excel",1 day ago,2026-03-21 23:11
Data Analyst,Vensure,6-10 Yrs,,"Noida, Hyderabad, Thiruvananthapuram","sigma, Power Bi, ETL, SQL, Azure Data Factory, Data analysis, Microsoft Azure, Six sigma",2 days ago,2026-03-21 23:11
Data Analyst,Wonderla Holidays,3-5 Yrs,"50,000-80,000 PA",Bengaluru,"Google Analytics, Google Data Studio, R, Power Bi, Campaign Analytics, Tableau, Looker, SQL",Few hours ago,2026-03-23 19:36
Data Analyst,Iifl Samasta,3-6 Yrs,,Bengaluru(Lalbagh Road),"Python, Power Bi, Data Analysis, SQL, Data, Bi, Analysis",Few hours ago,2026-03-23 19:36
Data Analyst,Onemagnify,4-9 Yrs,,Chennai,"database maintenance, python, data analysis, data analytics, data mining, predictive analytics, business analysis, power bi",Few hours ago,2026-03-23 19:36
Data Analyst,Perfex Technologies,2-7 Yrs,,Hyderabad,"python, macros, data analysis, data management, data analytics, data mining, predictive analytics, power bi",Few hours ago,2026-03-23 19:36
Data Analyst,Atlys,2-7 Yrs,,New Delhi,"tableau, python, data analytics, data analysis, marketing analytics, bi, power bi, Marketing",Few hours ago,2026-03-23 19:36
Data Analyst,NetM Corporate Solutions,4-6 Yrs,12-22 Lacs PA,Remote,"Power Bi, Tableau, Data Analytics, Statistics, SQL, Python, Bi, Data analysis",Few hours ago,2026-03-23 19:36
Head - Data Analyst,Thinkaloud Consulting,6-11 Yrs,20-27.5 Lacs PA,Pune,"Advanced Excel, MIS, Data Analysis, Data Analytics, Analytics, Analysis, Data, Excel",Today,2026-03-23 19:36
Data Analyst,Oncoassist,2-5 Yrs,,Remote,"Bigquery, Data Visualization, Data Analytics, Bi, Data Analysis, Bi Tools, Data Extraction, Tableau",Few hours ago,2026-03-23 19:36
Online Data Analyst - Malayalam,TELUS Digital,0-2 Yrs,,Remote,"Google Maps, Data Analysis, Online Data Analysis, quality assurance, AI models, Mapping, machine learning, Assurance",Today,2026-03-23 19:36
Data Analyst,ICON plc,2-7 Yrs,,Bengaluru,"Data Analyst, Data analysis, Data",Few hours ago,2026-03-23 19:37
Data Analyst,Premium Aerotec,3-8 Yrs,,Bengaluru,"Data analysis, Aviation, Analytical, MySQL, Data collection, Data quality, Oracle, Monitoring",Few hours ago,2026-03-23 19:37
Econometric Data Analyst,Micro1,2-7 Yrs,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","r, modeling, documentation, stata, analysis, reporting, research, Data",Few hours ago,2026-03-23 19:37
Data Analyst,GE VERNOVA,2-5 Yrs,,Noida,"data analyst, forecasting, product manager, ai, cybersecurity, artificial intelligence, change management, deep learning",Few hours ago,2026-03-23 19:37
Data & Backend Analyst,Backrock Studios,0-2 Yrs,,Bengaluru,"Backend, Senior Analyst, Gaming, Senior, Data",Just now,2026-03-23 19:37
Data Analyst,Ground Zero,8-12 Yrs,,New Delhi,"Economics, Administration, Social science, STATA, Postgresql, Data quality, Data Analyst, SQL",Just now,2026-03-23 19:37
Data Engineer / Analyst,We Shine Academy,0-3 Yrs,,Chennai,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing",3+ weeks ago,2026-03-23 19:37
Data Analyst,NMD,1-5 Yrs,,Gurugram,"cd, continuous integration, python, tensorflow, pytorch, keras, machine learning, Machine",Few hours ago,2026-03-23 19:37
Data Analyst,Propharma Group,2-4 Yrs,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Manager Quality Assurance, Business analytics, Consulting, Clinical research, Customer service, Pharmacovigilance, Troubleshooting, microsoft",1 day ago,2026-03-25 02:34
Data Analyst,K12 Techno Services,1-3 Yrs,3-4.5 Lacs PA,Bengaluru,"Advanced Excel, Data Reporting, Transport Operations, Transport Management, Pivot Table, VLOOKUP, Fleet Management, Data Management",1 day ago,2026-03-25 02:34
Data Analyst,Freedom From Diabetes,3-8 Yrs,,Pune,"Computer science, Automation, Data modeling, Analytical, Data processing, Data analytics, Data quality, Business intelligence",1 day ago,2026-03-25 02:34
Data Analyst - Data Modelling & Governance,A client of Anlage,5-10 Yrs,,"Pune, Bengaluru, Greater Noida","data analysis, GCP, data modelling, Data Engineering, Data Governance, Python, Engineering, Governance",1 day ago,2026-03-25 02:34
Data Analyst,Prasino Automation And Systems,2-5 Yrs,,Pune,"excel, word, powerpoint, ms office, communication skills, Office, Data, Microsoft",1 day ago,2026-03-25 02:34
Data Analyst - Ethics & Compliance M&C Americas,Castrol India Limited,3-8 Yrs,,Pune,"Health insurance, Data analysis, Performance management, Analytical, Data collection, Risk management, Financial services, Monitoring",1 day ago,2026-03-25 02:34
Data Analyst,SLK Software,1-5 Yrs,,Bengaluru,"database maintenance, oracle, modeling, data analysis, technical, strong analytical skills, oracle e-business suite, sql",1 day ago,2026-03-25 02:34
Data Analyst (Skywise),CGI,8-12 Yrs,20-27.5 Lacs PA,Bengaluru,"python, skywise, pyspark, aws, palantir/Foundry, Foundry, Data analysis, Palantir",1 day ago,2026-03-25 02:34
Data Analyst,Ford,1-6 Yrs,,Chennai,"Process efficiency, Cognos, Web development, Debugging, Programming, Continuous improvement, Troubleshooting, Software solutions",1 day ago,2026-03-25 02:35
Data Analyst,Lloyds Technology Centre India,1-4 Yrs,,Hyderabad,"Change management, Usage, Data management, GCP, Management systems, Project management, Design development, Support services",1 day ago,2026-03-25 02:35
Data Analyst,Moxieit Digital,5-10 Yrs,,Hybrid - Pune,"Power Bi, Data Visualization, Dax, data analyst, SQL, Python, Data analysis, Data",1 day ago,2026-03-25 02:35
Noatum Logistics | Data Analyst I,Noatum,1-3 Yrs,,Bengaluru,"Usage, Warehouse, Analytical, Data Analyst, Advertising, Monitoring, Logistics, Analytics",1 day ago,2026-03-25 02:35
Staff Data Analyst,Okta,8-13 Yrs,,Hybrid - Bengaluru,"Data Analysis, storytelling, data catalog, forecasting, airflow, ai, accounting, machine learning",1 day ago,2026-03-25 02:35
Data Analyst (Contract),Goodway Group,1-3 Yrs,,Remote,"Digital media, Data analysis, Healthcare, Account management, Data Analyst, data visualization, Adobe, MS Office",1 day ago,2026-03-25 02:35
Data Analyst,Prudent Globaltech Solutions,7-12 Yrs,,Hyderabad,"python, data mining, sql, r, data visualization, algorithms, data services, data analysis",1 day ago,2026-03-25 02:35
