Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
Data Analyst,US Based GCC Captive,5-9 Yrs,,Remote,"Data Visualization, Etl Process, Tableau, Data Analytics, SQL, Power Bi, ETL, Analytics",1 week ago,2026-03-13 22:17
Data Analyst,PerkinElmer India Pvt Ltd,2-5 Yrs,,Pune,"amazon redshift, presentation skills, power bi, troubleshooting, microsoft azure, communication skills, Data analysis, Data",Few hours ago,2026-03-13 22:17
Data Analyst - Virtual Interview - 14th March (Saturday),Tata Consultancy Services,7-12 Yrs,,"Bhubaneswar, Kolkata, Ahmedabad","Power Bi, Tableau, Business Intelligence Reporting, SQL, Reporting, Bi, Interviewing, Data analysis",Today,2026-03-13 22:17
Data Analyst,Secure Meters,0-2 Yrs,,Ranchi,"Data Analysis, Data Visualization, Energy Audit, SQL Queries, Advanced Excel, Data Analytics, SQL, Auditing",3+ weeks ago,2026-03-13 22:17
DATA ANALYST,Godigi Infotech,,Unpaid,Pune,,Starts in 1-3 months,2026-03-13 22:17
Data Analyst,Grid Dynamics,0-3 Yrs,,Hyderabad,"Data modeling, Analytical, Corporate, Performance optimization, Data Analyst, Medical insurance, Analytics, SQL",1 week ago,2026-03-13 22:17
Data Analyst,Barclays,0-7 Yrs,,Pune,"Automation, Data analysis, Change management, Operational excellence, Analytical, Data quality, Operations, Financial services",1 week ago,2026-03-13 22:17
Data Analyst,Leading Client,5-10 Yrs,,Remote,"Snowflake, data quality, advanced sql, data analysis, databricks, business analyst, etl, data engineering",1 day ago,2026-03-13 22:17
Data Analyst,Coralindia,7-12 Yrs,,Erode,"Data Analysis, Power Bi, Data Management, Data Visualization, Data Collection, Data Analytics, Data Reporting, Analytics",5 days ago,2026-03-13 22:17
Engineer I - Postgres Developer and Data Analyst,American Express Global Business Travel,5-10 Yrs,,Bengaluru,"Data migration, Data analysis, Expense management, Analytical, Customer service, Business intelligence, Operations, Analytics",2 days ago,2026-03-13 22:17
Data Analyst,MAN TRUCK BUS,2-4 Yrs,,Pune,"python, rpa, data analysis, data analytics, documentation, power bi, vb, machine learning",3 days ago,2026-03-13 22:17
Data Analyst,Shah Coal,1-3 Yrs,,Mumbai,"Data Analysis, Data Extraction, Data Collection, Data Management, Data Visualization, Data Warehousing, Tableau, Data Analytics",4 days ago,2026-03-13 22:17
Data Analyst,Surya Food  Agro Limited,3-5 Yrs,3-5 Lacs PA,Jewar,"Advanced Excel, Power Bi, VLOOKUP, Data Analytics, Macros, Statistics, SQL, Analytics",4 days ago,2026-03-13 22:17
Data Analyst,Lorven Technologies,5-10 Yrs,,Pune,"database maintenance, python, data analytics, data analysis, data management, data validation, data mining, business analysis",4 days ago,2026-03-13 22:17
Data Analyst,A reputed Indian Eyewear company,5-10 Yrs,,Mumbai (All Areas)(Churchgate),"Data Analysis, Data Analytics, Statistics, Analysis, Analytics, Data",4 days ago,2026-03-13 22:17
Data Analyst,Black and white Business Solutions,4-6 Yrs,,Chennai,"R, Power Bi, Cloud, Python, Azure Cloud, Data Analysis, Data Visualization, Data Analytics",3 days ago,2026-03-13 22:17
Data Analyst,HyreFox Consultants,1-5 Yrs,25-27.5 Lacs PA,Gurugram,"data analyst, Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, Python, SQL",4 days ago,2026-03-13 22:17
Private credit data analyst profile,Crisil,2-4 Yrs,,Mumbai,"Data analysis, Data management, Risk assessment, Reconciliation, Data processing, Data quality, Business intelligence, Portfolio management",2 days ago,2026-03-13 22:17
Data Analyst,Hav2 Apparels,1-3 Yrs,2-3 Lacs PA,Bengaluru,"Data Analytics, Power Bi, Data Visualization, Tableau, Data Warehousing, SQL, Data, Data analysis",1 day ago,2026-03-13 22:17
Data Analyst,Celsior Technologies,3-8 Yrs,,Hybrid - Bengaluru,"GCP, Data Analytics, Python, Statistics, SQL, Data, Data analysis, Analytics",1 week ago,2026-03-13 22:17
SACM Data Analyst,AGS,6-11 Yrs,10-20 Lacs PA,"Hyderabad, Chennai, Bengaluru","SACM Data Analyst, Data Analytics, SACM, Data analysis, Data, Analytics",1 week ago,2026-03-13 22:17
Data Analyst,Fortrea Development India,5-7 Yrs,,Bengaluru,"Computer science, data science, EDC, Analytical, Pharma, Engineering projects, Data quality, SQL",Today,2026-03-13 22:17
Data Analyst ( Cority EMS implementation and sphera),Ltimindtree,5-7 Yrs,,Hybrid - Bengaluru,"SPHERA, EMS, CORITY, Data analysis, Data",2 days ago,2026-03-13 22:17
Data Analyst,Flywings Enterprises,0-5 Yrs,5-10 Lacs PA,Pune,"Power Bi, SQL, Data Analysis, Aiml, Advanced Excel, Tableau, Python, Analysis",1 day ago,2026-03-13 22:17
Data Analyst,ADA Global,0-1 Yrs,,Bengaluru,"python, data analysis, data analytics, power bi, data warehousing, dashboards, business intelligence, sql",3+ weeks ago,2026-03-13 22:17
Data and Legal Analyst,Alphastream Technologies,0-3 Yrs,,Bengaluru,"covenants, Credit Agreement, Corporate Credit, private credit agreements, financial analysts, Equity Research, Legal, Corporate",1 week ago,2026-03-13 22:17
